name,category,address,phone,website,email,facebook,instagram,whatsapp,latitude,longitude,source_url
Gurung Beauty Parlour & Academy Pvt.Ltd.,ब्युटी पार्लर,"
पोखरा 33700","
985-6026492",,,,,,28.2297224,83.8254047,"https://www.google.com/maps/place/Gurung+Beauty+Parlour+%26+Academy+Pvt.Ltd./@28.2297224,83.8254047,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595b2a92b0241:0x531eb5b9af2ecd40!8m2!3d28.2138501!4d83.9853797!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASRDaGREU1VoTk1HOW5TMFZMYWxReU9WQjRlVGh1YzNwblJSQULgAQD6AQQIaBA1!16s%2Fg%2F11c1nn5bch?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dragon Hair Salon & Beauty Parlour lakeside,कपाल सैलुन,"
39 Lakeside Rd, पोखरा 33800","
980-5886799",,,,,,28.2052991,83.6732476,"https://www.google.com/maps/place/Dragon+Hair+Salon+%26+Beauty+Parlour+lakeside/@28.2052991,83.6732476,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x3995953a85b603d7:0xbab646cd74db27c9!8m2!3d28.2052991!4d83.9616387!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQpoYWlyX3NhbG9umgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0S01HVkZZekZTUjJONFlsWndUbG96UW1sTmJVNUdWRmhXV0dORlJSQULgAQD6AQQIexA5!16s%2Fg%2F11khz3_z1y?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Golden touch Spa and parlour pvt.ltd,खनिजमूलक स्वास्थ्यकेन्द्र,"
9, पोखरा","
982-6110641",https://www.goldentouchspa.com.np/,,,,,28.2052991,83.6732476,"https://www.google.com/maps/place/Golden+touch+Spa+and+parlour+pvt.ltd/@28.2052991,83.6732476,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595677099e773:0x9b57040cc88511df!8m2!3d28.2071333!4d83.9608552!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQNzcGGaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRHTmxOV09YUlVWWFJvWkZWemVsbFVWa0ppYTA1WlYydFNjMk5YWXhBQuABAPoBBAgAEDo!16s%2Fg%2F11l5q3dfry?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Showyember beauty and hair station,ब्युटी पार्लर,"
5XRC+FVV, Birauta, पोखरा 33700",,,,,,,28.2052991,83.6732476,"https://www.google.com/maps/place/Showyember+beauty+and+hair+station/@28.2052991,83.6732476,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x39959500148222ab:0xf45aa2ef21dbd3a5!8m2!3d28.1912303!4d83.9721648!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnFlVkJwZFRoM1JSQULgAQD6AQQIABAr!16s%2Fg%2F11vys__904?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Innovative Beautician Training Center & parlour Service,ब्यूटिसियन,,"
986-7706496",https://www.csabeauty.com/,,,,,28.2297224,83.5370136,"https://www.google.com/maps/place/Innovative+Beautician+Training+Center+%26+parlour+Service/@28.2297224,83.5370136,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x6941591227e56167:0xebae6ac442863662!8m2!3d28.2297224!4d83.8254047!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQpiZWF1dGljaWFumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU51ZVU5WWFDMVJSUkFC4AEA-gEECAAQTA!16s%2Fg%2F11w4xw5gf4?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
R.S beauty parlour,ब्युटी पार्लर,"
5XVW+MG6, पोखरा 15","
981-0394760",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/R.S+beauty+parlour/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595004805a423:0x13f2b98d75a56544!8m2!3d28.1941682!4d83.996259!15sCgdwYXJsb3VykgEMYmVhdXR5X3NhbG9u4AEA!16s%2Fg%2F11lcd65t71?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Shisir Beauty Parlour & Training Center,ब्युटी पार्लर,"
Himalitole, पोखरा 33700","
984-6053821",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Shisir+Beauty+Parlour+%26+Training+Center/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x39959530e153b3f1:0x5553de26fcd7919b!8m2!3d28.1930383!4d83.9755498!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXhkR1UyTjNkQlJSQULgAQD6AQQIABAZ!16s%2Fg%2F11rcmqqq_9?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Kapalsome Unisex Parlour – Barber & Hair Salon in Pokhara,हजामको पसल,"
पोखरा 33700","
980-4147084",https://kapalsome.com/,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Kapalsome+Unisex+Parlour+%E2%80%93+Barber+%26+Hair+Salon+in+Pokhara/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x4b5f3b3c6c12ee71:0x87a82c7e4eed2fdc!8m2!3d28.2135953!4d83.9731878!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQtiYXJiZXJfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuVFVOM2VVeHFhVFZCUlJBQuABAPoBBQiTARA3!16s%2Fg%2F11vy38bjrv?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
"Ananeke Beauty Salon & Spa - Best Beauty Salon in Pokhara for Hair Cut,Colors,Gel Nail,Skin Care)",ब्युटी पार्लर,"
Opposite The Yatra Courtyard, Street no. 15, पोखरा 33700","
061-590139",https://ananekesalon.com/,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Ananeke+Beauty+Salon+%26+Spa+-+Best+Beauty+Salon+in+Pokhara+for+Hair+Cut,Colors,Gel+Nail,Skin+Care)/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595a774c096fb:0x718891de1c379825!8m2!3d28.2103866!4d83.9586591!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjFzYlUweGJHRmFSV3hXVTFaQ2VGcEhTa0pSV0dSMVYxVmtjMVF3UlJBQuABAPoBBAgAEEc!16s%2Fg%2F11j0zyccy8?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Pokhara beauty parlour,ब्युटी पार्लर,"
52V3+J72, पोखरा 33700","
981-7155453",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Pokhara+beauty+parlour/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x3995955aefc59ab9:0xafda67accf93c11c!8m2!3d28.1938537!4d84.0034693!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkVaM0pRWmpkQlJSQULgAQD6AQQIABAi!16s%2Fg%2F11ss4y4gm6?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Gurung Beauty Parlour Prithivi Chowk,ब्युटी पार्लर,"
Prithvichowk-08, पोखरा 33700","
061-553525",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Gurung+Beauty+Parlour+Prithivi+Chowk/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595001e98c815:0x9433c82645b4eaf4!8m2!3d28.2092002!4d83.9854246!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnBvZVZsc2NGTmxhMFp3VjFSc2VWcElhekZqU0VJeFdWUmtRMVpYWXhBQuABAPoBBAgAEA0!16s%2Fg%2F11ym0cfp0l?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Nourish beauty salon & spa,ब्युटी पार्लर,"
6X7P+X7M, पोखरा 33700","
974-5451234",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Nourish+beauty+salon+%26+spa/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x3995952997be000d:0x3c26a4f4fae22ce!8m2!3d28.2149431!4d83.9856291!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkNiMGxQU0hsUlJSQULgAQD6AQQIABBD!16s%2Fg%2F11ptz75yhk?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Shadows beauty parlor and training center,ब्युटी पार्लर,"
Birauta, पोखरा 33700","
985-6047166",https://www.shadowsbeautyparlour.com/,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Shadows+beauty+parlor+and+training+center/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595577d7e9367:0x6f2ec66a5793cc4e!8m2!3d28.1928353!4d83.9723186!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblRVTm5iRmxIUVd0QlJSQULgAQD6AQQIABAe!16s%2Fg%2F11wb_0tl_9?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Sumee Cosmetics Corner and Beauty Parlour,ब्युटी पार्लर,"
5XVR+H3X, पोखरा 15","
981-6624125",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Sumee+Cosmetics+Corner+and+Beauty+Parlour/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x3995950007d946f9:0x8eedae3877fa1723!8m2!3d28.1939887!4d83.9902306!15sCgdwYXJsb3VykgEMYmVhdXR5X3NhbG9u4AEA!16s%2Fg%2F11z5xg6tfn?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Beauty Monks unisex salon and Academy,ब्युटी पार्लर,"
6XCP+MVF, नयाँ सडक, पोखरा 33700","
982-4155055",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Beauty+Monks+unisex+salon+and+Academy/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595a49cdc969d:0x49f8d10199ae94a6!8m2!3d28.2216935!4d83.9871637!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmxhV1JUYzFWbkVBReABAPoBBAgAEEw!16s%2Fg%2F11k0kt57kf?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Susmi beauty parlour&cosmetic,ब्युटी पार्लर,"
28 Lakeside Rd, पोखरा 33700","
980-6116221",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Susmi+beauty+parlour%26cosmetic/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x39959557af944a67:0xb29ea05137e690fa!8m2!3d28.2128115!4d83.9626961!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhPYm1WSGNIVk9WbHA1V210YVVWTnJSakJYYlRGdFpGaE5ORlZZWXhBQuABAPoBBAgAECg!16s%2Fg%2F11qg9ydj4j?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Sarita beauty parlour,ब्युटी पार्लर,"
6254+JG, पोखरा 33700","
981-4150144",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Sarita+beauty+parlour/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x3995956e71fd8a03:0xe333702e96d7f4ae!8m2!3d28.2090879!4d84.0063461!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjA1TmxKVVVuZFpWekUxVVd0dmQxRldPWFpaV0U1M1RWUmFVR050WXhBQuABAPoBBAg0EEc!16s%2Fg%2F11kqrg1_dw?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Six Sense Spa & beauty parlour,खनिजमूलक स्वास्थ्यकेन्द्र,"
6 Lakeside Rd, पोखरा 33702","
982-0495483",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Six+Sense+Spa+%26+beauty+parlour/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595a6de22e2c9:0xc7566adf663fcb01!8m2!3d28.2059162!4d83.9625463!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQNzcGGaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRzVDA5SFJrVmlWazVLWVZWT2NGZEhlSFJaYlVaSFRVUldabU13UlJBQuABAPoBBAgAEEA!16s%2Fg%2F11z4fpmgg9?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Dream Beauty Home And Training Centre,ब्युटी पार्लर,"
5XR9+JRR, पोखरा 33700","
984-6145896",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Dream+Beauty+Home+And+Training+Centre/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595007bd02ee7:0x68bff7f729d87b0f!8m2!3d28.1915357!4d83.9696221!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblRVTkJNVGhNWWtkQkVBReABAPoBBAgAEEQ!16s%2Fg%2F11y2dgvd7l?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Royal Palace Spa Parlour,खनिजमूलक स्वास्थ्यकेन्द्र,"
Street No 12, पोखरा 33700",,,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Royal+Palace+Spa+Parlour/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x3995950022ee7f71:0x717f1180103c9756!8m2!3d28.206772!4d83.9589794!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQNzcGGaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhHUm1GR1FscFBSMHB1VWxkTk0xUklXbE5XVkZaWFRqTldibVJZWXhBQuABAPoBBAgAEEI!16s%2Fg%2F11ykx9nt0m?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Pokhara beauty parlour,ब्युटी पार्लर,"
52V3+J72, पोखरा 33700","
981-7155453",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Pokhara+beauty+parlour/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x3995955aefc59ab9:0xafda67accf93c11c!8m2!3d28.1938537!4d84.0034693!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkVaM0pRWmpkQlJSQULgAQD6AQQIABAi!16s%2Fg%2F11ss4y4gm6?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Sarita beauty parlour,ब्युटी पार्लर,"
6254+JG, पोखरा 33700","
981-4150144",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Sarita+beauty+parlour/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x3995956e71fd8a03:0xe333702e96d7f4ae!8m2!3d28.2090879!4d84.0063461!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjA1TmxKVVVuZFpWekUxVVd0dmQxRldPWFpaV0U1M1RWUmFVR050WXhBQuABAPoBBAg0EEc!16s%2Fg%2F11kqrg1_dw?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Sumee Cosmetics Corner and Beauty Parlour,ब्युटी पार्लर,"
5XVR+H3X, पोखरा 15","
981-6624125",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Sumee+Cosmetics+Corner+and+Beauty+Parlour/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x3995950007d946f9:0x8eedae3877fa1723!8m2!3d28.1939887!4d83.9902306!15sCgdwYXJsb3VykgEMYmVhdXR5X3NhbG9u4AEA!16s%2Fg%2F11z5xg6tfn?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Shrena Unisex Salon & Academy Pvt. Ltd,ब्युटी पार्लर,"
H04, पोखरा 33700","
985-6041224",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Shrena+Unisex+Salon+%26+Academy+Pvt.+Ltd/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595982c70e56d:0x82ab518339b7f6dc!8m2!3d28.2088397!4d83.9879203!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQxiZWF1dHlfc2Fsb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkNlR1pVUlVObkVBReABAPoBBAgAEDI!16s%2Fg%2F11nl9gxv3s?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Spotlight Makeup Studio & Hair Salon,मेक-अप आर्टिस्ट,"
Parajuli Complex, पोखरा 33700","
981-6677566",https://sp0tlight.my.canva.site/makeup,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Spotlight+Makeup+Studio+%26+Hair+Salon/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x399595a11cf0ed45:0x2142c61c9fb4b9ba!8m2!3d28.224334!4d83.987687!15sCgdwYXJsb3VyWgkiB3BhcmxvdXKSAQ1tYWtldXBfYXJ0aXN0mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU53ZEhKUGJqSlJSUkFC4AEA-gEECAAQKA!16s%2Fg%2F11s05cbv31?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
Beauty Zone Unisex Parlour,ब्युटी पार्लर,"
Savagriha Chowk, पोखरा 33700","
981-7113977",,,,,,28.1941682,83.7078679,"https://www.google.com/maps/place/Beauty+Zone+Unisex+Parlour/@28.1941682,83.7078679,11z/data=!4m11!1m3!2m2!1sparlour!6e1!3m6!1s0x39959509c557f99d:0x2af003cccc1c6b9f!8m2!3d28.2100227!4d83.9832071!15sCgdwYXJsb3VykgEMYmVhdXR5X3NhbG9u4AEA!16s%2Fg%2F11m41j01l2?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D"
